t,x,y,z
52.1,0.042972093,0.076854618,0.269398003
52.2,0.042415163,0.077159117,0.265024814
52.3,0.041874786,0.077455728,0.260598359
52.4,0.041350845,0.077744201,0.256120618
52.5,0.040843214,0.078024288,0.251593593
52.6,0.040351763,0.078295748,0.247019302
52.7,0.039876355,0.078558341,0.242399779
52.8,0.039416847,0.078811835,0.237737075
52.9,0.038973094,0.079056003,0.233033257
53,0.038544941,0.079290622,0.228290406
53.1,0.038132231,0.079515474,0.223510616
53.2,0.037734801,0.079730346,0.218695993
53.3,0.037352482,0.079935032,0.213848658
53.4,0.036985102,0.08012933,0.208970741
53.5,0.03663248,0.080313043,0.204064383
53.6,0.036294436,0.080485982,0.199131733
53.7,0.035970781,0.080647961,0.194174952
53.8,0.035661323,0.0807988,0.189196206
53.9,0.035365866,0.080938328,0.18419767
54,0.035084208,0.081066375,0.179181523
54.1,0.034816144,0.081182781,0.174149952
54.2,0.034561466,0.08128739,0.169105147
54.3,0.034319959,0.081380052,0.164049301
54.4,0.034091408,0.081460625,0.158984613
54.5,0.03387559,0.081528971,0.15391328
54.6,0.033672282,0.081584959,0.148837502
54.7,0.033481255,0.081628466,0.14375948
54.8,0.033302278,0.081659372,0.138681415
54.9,0.033135117,0.081677566,0.133605504
55,0.032979534,0.081682943,0.128533943
55.1,0.032835287,0.081675405,0.123468927
55.2,0.032702134,0.081654859,0.118412644
55.3,0.032579827,0.08162122,0.113367279
55.4,0.032468119,0.081574408,0.108335012
55.5,0.032366756,0.081514352,0.103318015
55.6,0.032275486,0.081440987,0.098318454
55.7,0.032194052,0.081354252,0.093338487
55.8,0.032122196,0.081254098,0.088380261
55.9,0.032059658,0.081140478,0.083445916
56,0.032006175,0.081013354,0.078537582
56.1,0.031961484,0.080872694,0.073657374
56.2,0.031925319,0.080718474,0.068807398
56.3,0.031897414,0.080550676,0.063989747
56.4,0.0318775,0.08036929,0.059206499
56.5,0.031865307,0.08017431,0.054459718
56.6,0.031860567,0.07996574,0.049751453
56.7,0.031863007,0.07974359,0.045083736
56.8,0.031872355,0.079507876,0.040458584
56.9,0.031888339,0.079258621,0.035877996
57,0.031910685,0.078995857,0.03134395
57.1,0.03193912,0.078719619,0.026858408
57.2,0.031973369,0.078429954,0.022423312
57.3,0.032013159,0.07812691,0.018040582
57.4,0.032058217,0.077810547,0.013712116
57.5,0.032108267,0.077480928,0.009439794
57.6,0.032163037,0.077138125,0.005225468
57.7,0.032222253,0.076782217,0.001070971
57.8,0.032285644,0.076413287,-0.003021891
57.9,0.032352936,0.076031429,-0.007051335
58,0.032423859,0.075636739,-0.011015605
58.1,0.032498144,0.075229323,-0.014912968
58.2,0.03257552,0.074809292,-0.018741722
58.3,0.03265572,0.074376765,-0.02250019
58.4,0.032738477,0.073931866,-0.026186723
58.5,0.032823527,0.073474726,-0.029799701
58.6,0.032910606,0.073005482,-0.033337533
58.7,0.032999451,0.072524279,-0.036798658
58.8,0.033089804,0.072031266,-0.040181546
58.9,0.033181405,0.071526601,-0.043484697
59,0.033273999,0.071010445,-0.046706643
59.1,0.033367332,0.070482968,-0.049845948
59.2,0.033461153,0.069944344,-0.052901209
59.3,0.033555212,0.069394755,-0.055871056
59.4,0.033649263,0.068834386,-0.058754152
59.5,0.033743062,0.068263432,-0.061549195
59.6,0.033836368,0.06768209,-0.064254917
59.7,0.033928942,0.067090565,-0.066870085
59.8,0.034020549,0.066489067,-0.069393503
59.9,0.034110957,0.065877811,-0.071824009
60,0.034199937,0.065257018,-0.074160478
60.1,0.034287264,0.064626915,-0.076401823
60.2,0.034372714,0.063987734,-0.078546993
60.3,0.034456069,0.063339711,-0.080594975
60.4,0.034537114,0.062683089,-0.082544794
60.5,0.034615637,0.062018114,-0.084395513
60.6,0.034691431,0.06134504,-0.086146234
60.7,0.034764291,0.060664123,-0.087796098
60.8,0.034834019,0.059975625,-0.089344285
60.9,0.034900418,0.059279812,-0.090790016
61,0.034963297,0.058576955,-0.092132549
61.1,0.035022468,0.057867331,-0.093371185
61.2,0.035077749,0.057151218,-0.094505264
61.3,0.03512896,0.056428901,-0.095534167
61.4,0.035175929,0.055700668,-0.096457315
61.5,0.035218485,0.054966812,-0.097274172
61.6,0.035256463,0.054227629,-0.09798424
61.7,0.035289705,0.053483418,-0.098587066
61.8,0.035318053,0.052734483,-0.099082236
61.9,0.035341359,0.051981133,-0.09946938
62,0.035359475,0.051223676,-0.099748167
62.1,0.035372263,0.050462429,-0.099918309
62.2,0.035379587,0.049697707,-0.099979561
